10000000 5000
1400906 9889280 90378
6581237 9872072 87106
4386373 9779851 52422
198648 4373818 52898
5770793 6783792 71662
8347130 8855655 73004
3864995 9096330 24671
503878 6711964 63592
1523170 4839982 9906
8537134 8724078 71133
124983 3641723 76764
848453 9222572 48836
3608944 4251911 28686
499113 2920685 43685
4073583 7282905 14478
261598 8654911 77959
2519906 6734602 90640
559273 5540135 2603
380116 9039217 42124
1433601 9349123 66201
5075324 6436608 7536
3413373 8440128 30107
2692039 2778561 55402
1923599 5612723 54515
1267285 9686306 53771
2464255 8898115 8681
4876074 9198856 28586
2274480 2466714 85073
1313696 9285669 81540
662819 7627793 15141
7099426 7210346 6816
3029150 9434234 46943
5807710 8364341 38981
5936096 7731309 51704
1490611 1514945 54361
413059 6844382 18615
3369415 7805484 33822
272197 2414354 8301
6999427 9557865 38348
4480967 9702009 1166
5912460 9428706 16944
2419276 8862940 46093
9743632 9882572 53803
37905 5679727 1463
5805961 7170337 16407
1260322 6531070 29465
1695289 9900485 34948
2314838 3845463 23496
1830616 8270116 97712
4008465 6311582 16072
2224042 2925983 44777
7159669 8942927 7716
7989021 9558592 51348
5359176 9596497 31074
2976991 5402457 17763
2109750 9179131 65184
3390771 9139215 82020
6490515 7236234 13209
6630363 8022701 43824
2031165 8844427 71758
760499 4957148 95799
2105276 6416426 71819
4829345 6921798 30411
4780693 4797325 43259
2928119 7774315 45715
8245882 9884064 24845
1539630 2611067 31968
546496 1909439 84553
3522649 9693210 7253
6966473 8537636 54770
1814486 9238231 28269
3919762 6250382 44694
1265458 2938554 66492
6046150 9185317 63816
1490620 5028576 54483
6274291 9736502 54898
4863920 9215489 10880
5547457 6773358 57375
296006 4148362 66937
8255615 9778831 4572
1533413 6910385 19058
300147 5555006 55171
3238700 8099701 20628
82545 2424016 83129
4346361 7452591 73748
1417196 6243233 26601
888447 5458721 6872
1899327 3522529 96582
187242 3456702 8939
7223639 8442857 87769
2044564 7869593 21182
3424599 8679974 37680
4040651 9235145 76379
3572125 4123195 394
985907 6471606 69336
861706 2403103 12568
3291549 7504660 87641
5190875 9011532 26521
1163928 9808114 13763
903919 3417054 56619
5464834 9321175 42563
4144807 6758709 83513
4496389 5896303 24163
1984779 7989120 47357
972736 3905866 33264
1834441 7275202 52718
9339100 9404123 60618
866984 6991764 67844
618285 3191449 31771
6948400 9124854 52041
1721371 8446029 33226
4363935 7721089 78032
4733830 5463800 90686
2722949 8087964 75464
6628815 7351673 48199
5084937 6420368 98992
254007 5824490 54443
5332605 8714625 21426
4882469 8467242 12875
4730593 5415641 54080
5482634 7137012 16460
4017298 4215861 37549
9481097 9610245 71378
85412 900932 94326
6692748 7437085 39492
2522021 3457300 59860
2056292 2776028 84349
1490652 2510735 16954
3832162 8889473 84195
861389 3620065 16187
1619050 7015469 53198
4131930 5834910 70495
1485831 7961507 67944
1378790 3573561 53355
5867887 8071537 90439
1528836 9823732 28812
3585127 7683592 21191
3884293 8612214 28194
4960727 5417599 17666
2901794 5822115 37730
5353935 8317982 56780
2002216 3387532 8041
2474380 3488046 85899
1042324 7061606 64688
2212031 5445845 36225
7785928 8302471 81412
1947635 5469519 82891
1870163 8368826 95104
7287762 8797020 55830
631039 2705907 94296
3540240 3568769 64582
641901 6927772 66798
1918503 6066295 71195
2960826 9452194 49153
4216883 5172856 11349
5991678 9569460 97276
6450872 7939312 83146
8824489 9433763 53308
137861 3545219 57421
101049 768899 63328
6854019 7511697 19919
276280 7495920 47690
3562214 7559430 66192
5530759 8330625 43369
1196130 2263993 32577
1833452 9507479 40606
800676 5604755 96270
2204253 2750790 20758
8157562 8812361 58618
6431335 8913409 27516
4894663 8941458 81535
1930935 9217737 93806
3378625 6777166 72371
7624142 9261170 3129
620891 8820272 83474
8327750 9669820 16925
4710427 6448857 33952
206697 8653109 1094
4527455 9327022 13454
1502426 5758357 43214
3169371 6729942 84671
1327829 5100305 18759
995282 3421635 12276
2772803 4110358 36418
5910045 7813488 56689
5579865 6296962 790
2806643 9130239 49646
3013339 5280544 19107
57145 4181638 46128
1559570 4411444 20836
805864 3554658 6559
2133692 4155682 6863
3974441 8071679 18496
2182036 3086718 7650
2511875 9823136 17695
1325188 7896177 13911
2971779 4296967 20553
768674 9662966 50243
3682073 7466663 7387
1878106 9544553 83309
3681742 5432763 89172
988301 2104796 39215
5911516 6079237 27245
1830013 9165954 25633
1505441 5554015 53859
5188062 9401617 79047
401973 6214935 67177
938878 8394252 35850
4489121 4592676 18864
6653581 8096509 96969
335322 8296170 46083
1323622 6785342 50879
2440909 7235137 30115
1581501 6168155 12420
7110140 7135516 17860
563999 2323577 35828
5241902 7859398 67114
6180779 8126575 77718
669900 1678777 70393
1282760 2697641 23973
8110962 9578929 59294
1473398 8880622 99267
1321530 4424277 50756
6036 5970744 32256
6683164 7116175 84123
1417376 7680174 24052
5539571 8069556 65953
936670 6182498 46731
377626 4714388 32982
5591619 5601134 15741
3141459 3702580 94669
1017106 5175977 75290
216373 2116605 13172
8087348 9167129 19207
2215738 7286863 35382
1220590 4916213 31907
